movie_id,title,year,runtime_min,genres,rating_imdb,votes,revenue_musd,director,cast_top3,country,language,production_company,metascore
26,Movie 26,1983,91,"Horror, Romance, Action",4.0,404788,109.0,Director 135,"Actor 166, Actor 760, Actor 453",Italy,Japanese,Studio 55,31
27,Movie 27,1987,89,"Drama, Animation, Action",8.6,305902,444.3,Director 221,"Actor 131, Actor 43, Actor 316",India,Italian,Studio 6,75
28,Movie 28,1993,167,Comedy,5.9,294040,707.9,Director 209,"Actor 636, Actor 768, Actor 159",France,Italian,Studio 21,52
29,Movie 29,2006,83,Sci-Fi,8.3,216356,642.8,Director 128,"Actor 274, Actor 164, Actor 719",UK,German,Studio 5,90
30,Movie 30,1994,105,"Sci-Fi, Romance",8.5,457324,185.9,Director 13,"Actor 676, Actor 198, Actor 409",India,French,Studio 9,65
31,Movie 31,2002,162,"Horror, Animation, Sci-Fi",9.2,60972,702.2,Director 134,"Actor 183, Actor 595, Actor 272",USA,English,Studio 77,85
32,Movie 32,2002,173,"Horror, Animation",4.6,472099,463.4,Director 131,"Actor 46, Actor 726, Actor 447",USA,Hindi,Studio 69,55
33,Movie 33,2003,135,Sci-Fi,7.4,348306,679.2,Director 154,"Actor 520, Actor 317, Actor 683",Japan,French,Studio 52,67
34,Movie 34,2015,96,Horror,7.7,199281,543.5,Director 90,"Actor 631, Actor 583, Actor 309",Japan,Hindi,Studio 1,68
35,Movie 35,1998,106,"Fantasy, Sci-Fi",6.6,232319,542.1,Director 262,"Actor 485, Actor 754, Actor 174",UK,French,Studio 66,72
36,Movie 36,1985,176,Romance,5.2,104901,122.1,Director 24,"Actor 251, Actor 487, Actor 626",UK,German,Studio 54,54
37,Movie 37,2025,169,"Adventure, Horror",5.3,344463,551.7,Director 55,"Actor 798, Actor 436, Actor 225",Canada,Italian,Studio 90,89
38,Movie 38,1983,151,Comedy,6.5,420673,374.4,Director 272,"Actor 573, Actor 610, Actor 325",Spain,Hindi,Studio 93,94
39,Movie 39,2007,150,"Drama, Adventure",6.5,394647,201.6,Director 142,"Actor 785, Actor 797, Actor 534",Spain,Japanese,Studio 31,65
40,Movie 40,2008,89,"Romance, Thriller, Fantasy",5.8,468703,434.4,Director 71,"Actor 155, Actor 237, Actor 393",Canada,Japanese,Studio 28,38
41,Movie 41,2006,132,"Animation, Adventure",6.3,108940,667.1,Director 200,"Actor 789, Actor 599, Actor 713",USA,Italian,Studio 98,78
42,Movie 42,2010,80,"Romance, Horror",8.7,438662,338.1,Director 280,"Actor 618, Actor 226, Actor 500",France,French,Studio 56,92
43,Movie 43,1981,129,"Horror, Drama",8.6,482604,106.5,Director 274,"Actor 28, Actor 404, Actor 607",Australia,Japanese,Studio 4,40
44,Movie 44,2021,134,Adventure,5.0,136896,306.4,Director 109,"Actor 466, Actor 335, Actor 346",Japan,French,Studio 97,83
45,Movie 45,1996,90,"Action, Animation",4.3,499580,283.2,Director 36,"Actor 800, Actor 668, Actor 42",USA,Spanish,Studio 26,32
46,Movie 46,2019,99,Drama,6.6,60473,453.4,Director 112,"Actor 477, Actor 717, Actor 263",India,Spanish,Studio 78,44
47,Movie 47,1990,119,Fantasy,4.1,164055,462.8,Director 193,"Actor 407, Actor 733, Actor 204",UK,Hindi,Studio 89,61
48,Movie 48,1986,169,"Fantasy, Comedy",8.4,297211,627.2,Director 178,"Actor 546, Actor 439, Actor 678",India,English,Studio 65,73
49,Movie 49,1980,133,"Comedy, Horror",9.3,333729,713.8,Director 236,"Actor 725, Actor 157, Actor 446",Canada,Japanese,Studio 67,64
50,Movie 50,2019,148,"Adventure, Horror",8.5,311127,218.4,Director 126,"Actor 89, Actor 286, Actor 462",France,Italian,Studio 60,78
51,Movie 51,2001,83,"Sci-Fi, Drama",6.7,186530,639.3,Director 175,"Actor 287, Actor 611, Actor 719",Germany,Hindi,Studio 2,54
52,Movie 52,1985,110,"Horror, Adventure, Thriller",7.8,339139,570.9,Director 230,"Actor 18, Actor 96, Actor 302",France,German,Studio 89,61
53,Movie 53,1999,164,"Sci-Fi, Adventure, Fantasy",6.3,391584,442.6,Director 181,"Actor 720, Actor 465, Actor 278",Germany,French,Studio 30,45
54,Movie 54,1992,120,Animation,9.2,362344,152.2,Director 111,"Actor 757, Actor 496, Actor 284",Australia,Italian,Studio 68,66
55,Movie 55,1986,104,"Thriller, Sci-Fi",5.0,7917,567.9,Director 65,"Actor 281, Actor 47, Actor 56",Italy,French,Studio 90,46
56,Movie 56,2020,176,"Comedy, Action",7.2,246599,385.6,Director 175,"Actor 189, Actor 53, Actor 259",Spain,English,Studio 9,81
57,Movie 57,2011,89,"Action, Drama, Animation",8.5,498115,246.5,Director 128,"Actor 122, Actor 572, Actor 783",Japan,Hindi,Studio 77,58
58,Movie 58,2013,128,"Adventure, Romance",8.7,225330,247.8,Director 31,"Actor 625, Actor 758, Actor 102",France,Japanese,Studio 28,63
59,Movie 59,2022,90,Thriller,5.0,39855,129.4,Director 210,"Actor 462, Actor 706, Actor 609",Spain,French,Studio 5,59
60,Movie 60,1998,170,"Adventure, Comedy",7.8,484895,215.3,Director 102,"Actor 436, Actor 118, Actor 558",France,Japanese,Studio 20,64
61,Movie 61,1989,89,Drama,8.4,312474,600.4,Director 292,"Actor 296, Actor 450, Actor 128",Spain,Japanese,Studio 39,81
62,Movie 62,1997,144,"Adventure, Fantasy, Comedy",7.3,466813,348.5,Director 166,"Actor 619, Actor 257, Actor 27",UK,Spanish,Studio 87,32
63,Movie 63,2023,114,"Action, Drama, Adventure",6.9,232355,733.3,Director 93,"Actor 600, Actor 447, Actor 651",Spain,English,Studio 61,74
64,Movie 64,2006,122,"Comedy, Drama",5.8,364184,398.9,Director 206,"Actor 779, Actor 564, Actor 38",Spain,English,Studio 41,62
65,Movie 65,2000,94,"Animation, Action",7.6,284975,372.3,Director 28,"Actor 193, Actor 531, Actor 371",Australia,Italian,Studio 64,86
66,Movie 66,1983,106,"Animation, Drama",9.1,230199,705.3,Director 249,"Actor 125, Actor 30, Actor 646",Australia,Italian,Studio 31,50
67,Movie 67,1999,150,Animation,6.2,118307,793.8,Director 59,"Actor 473, Actor 121, Actor 664",Canada,German,Studio 92,67
68,Movie 68,2012,170,"Horror, Adventure",9.4,128285,368.1,Director 75,"Actor 393, Actor 196, Actor 614",Italy,Japanese,Studio 18,38
69,Movie 69,1997,178,"Sci-Fi, Animation",5.5,1844,229.9,Director 153,"Actor 602, Actor 594, Actor 676",Spain,Italian,Studio 20,87
70,Movie 70,2014,141,"Sci-Fi, Animation",8.2,198266,367.0,Director 165,"Actor 194, Actor 715, Actor 245",Australia,German,Studio 30,82
71,Movie 71,1982,120,"Adventure, Horror, Animation",9.4,415942,657.5,Director 78,"Actor 508, Actor 38, Actor 130",Italy,Hindi,Studio 43,42
72,Movie 72,2008,92,"Adventure, Action, Drama",6.3,343793,776.1,Director 39,"Actor 481, Actor 272, Actor 347",Australia,Japanese,Studio 51,40
73,Movie 73,2001,166,"Horror, Sci-Fi, Adventure",8.8,19321,495.9,Director 121,"Actor 647, Actor 701, Actor 295",France,Japanese,Studio 12,85
74,Movie 74,1986,177,"Comedy, Adventure, Drama",7.8,474154,28.0,Director 167,"Actor 58, Actor 301, Actor 368",India,German,Studio 19,61
75,Movie 75,2013,132,"Drama, Fantasy, Animation",4.4,457070,309.1,Director 124,"Actor 510, Actor 598, Actor 147",France,German,Studio 82,62
76,Movie 76,2009,112,"Action, Adventure, Romance",7.7,83324,63.7,Director 177,"Actor 602, Actor 307, Actor 655",Japan,Japanese,Studio 33,88
77,Movie 77,1999,105,"Adventure, Comedy",5.3,300352,290.4,Director 152,"Actor 717, Actor 303, Actor 23",Japan,French,Studio 2,36
78,Movie 78,2018,175,"Romance, Thriller",7.3,185217,179.1,Director 98,"Actor 636, Actor 257, Actor 695",Canada,Japanese,Studio 13,35
79,Movie 79,1999,180,"Action, Sci-Fi",8.0,47755,728.2,Director 168,"Actor 766, Actor 426, Actor 180",France,Spanish,Studio 70,76
80,Movie 80,2013,144,"Drama, Romance",9.0,495526,388.1,Director 152,"Actor 765, Actor 347, Actor 118",Spain,English,Studio 19,58
81,Movie 81,2023,172,"Horror, Animation, Sci-Fi",4.5,207370,16.1,Director 275,"Actor 127, Actor 466, Actor 378",Germany,Hindi,Studio 49,77
82,Movie 82,1986,166,Adventure,4.1,464093,754.8,Director 168,"Actor 625, Actor 227, Actor 664",UK,Japanese,Studio 60,68
83,Movie 83,2021,132,Drama,4.2,20009,247.0,Director 253,"Actor 119, Actor 100, Actor 241",Italy,Spanish,Studio 50,88
84,Movie 84,2003,165,"Animation, Horror, Drama",8.9,343867,83.7,Director 251,"Actor 631, Actor 418, Actor 287",USA,Japanese,Studio 48,57
85,Movie 85,2008,136,Sci-Fi,4.5,359993,297.0,Director 184,"Actor 63, Actor 408, Actor 283",France,English,Studio 59,41
86,Movie 86,2022,107,"Fantasy, Action, Animation",8.3,128200,791.1,Director 290,"Actor 211, Actor 71, Actor 784",Italy,Spanish,Studio 76,57
87,Movie 87,1994,122,Fantasy,4.0,450552,787.3,Director 67,"Actor 554, Actor 257, Actor 179",UK,Japanese,Studio 4,46
88,Movie 88,1980,125,Fantasy,5.8,91855,216.0,Director 65,"Actor 760, Actor 432, Actor 539",UK,Japanese,Studio 9,90
89,Movie 89,2008,179,"Animation, Comedy",6.5,116655,756.6,Director 23,"Actor 745, Actor 675, Actor 534",Germany,German,Studio 83,33
90,Movie 90,1983,141,"Horror, Comedy",6.7,477445,357.6,Director 42,"Actor 330, Actor 623, Actor 152",UK,Spanish,Studio 36,71
91,Movie 91,2004,156,"Romance, Adventure, Horror",4.5,368434,96.0,Director 283,"Actor 739, Actor 221, Actor 441",Spain,Spanish,Studio 53,73
92,Movie 92,2009,131,"Comedy, Sci-Fi",6.3,349208,207.6,Director 79,"Actor 704, Actor 486, Actor 69",UK,Italian,Studio 11,41
93,Movie 93,2007,92,"Sci-Fi, Drama, Action",7.2,294933,451.5,Director 63,"Actor 421, Actor 363, Actor 682",Japan,Italian,Studio 93,36
94,Movie 94,1998,156,"Sci-Fi, Comedy",7.2,112036,128.0,Director 247,"Actor 230, Actor 111, Actor 359",Italy,French,Studio 15,65
95,Movie 95,2016,108,"Animation, Fantasy",4.1,487607,528.0,Director 137,"Actor 30, Actor 185, Actor 280",Germany,French,Studio 45,30
96,Movie 96,1991,98,"Horror, Comedy, Drama",8.1,16573,77.9,Director 272,"Actor 221, Actor 386, Actor 430",Spain,French,Studio 21,77
97,Movie 97,1999,172,"Fantasy, Comedy",8.9,82068,130.1,Director 26,"Actor 691, Actor 84, Actor 279",Spain,Japanese,Studio 55,92
98,Movie 98,2018,136,"Romance, Thriller",8.2,60173,279.4,Director 57,"Actor 291, Actor 695, Actor 608",Spain,Hindi,Studio 86,69
99,Movie 99,1982,108,"Fantasy, Action",4.0,158530,756.5,Director 71,"Actor 783, Actor 262, Actor 297",India,English,Studio 1,93
100,Movie 100,2007,102,Horror,6.9,121144,402.7,Director 182,"Actor 74, Actor 407, Actor 760",USA,German,Studio 3,88
101,Movie 101,1984,120,"Horror, Fantasy, Animation",5.6,212853,21.6,Director 167,"Actor 176, Actor 633, Actor 472",India,English,Studio 56,43
102,Movie 102,1995,135,"Horror, Animation, Comedy",6.2,163173,597.9,Director 114,"Actor 342, Actor 798, Actor 173",UK,Hindi,Studio 82,44
103,Movie 103,2013,145,Sci-Fi,5.9,429864,518.1,Director 76,"Actor 242, Actor 106, Actor 150",Germany,Spanish,Studio 23,49
104,Movie 104,2021,89,Adventure,6.6,296059,609.1,Director 230,"Actor 698, Actor 579, Actor 659",Australia,French,Studio 81,70
105,Movie 105,1989,136,Adventure,6.4,159265,638.1,Director 29,"Actor 361, Actor 520, Actor 76",Germany,German,Studio 58,34
106,Movie 106,1983,127,"Comedy, Fantasy",7.4,266349,310.7,Director 298,"Actor 568, Actor 757, Actor 43",Spain,Italian,Studio 74,54
107,Movie 107,2000,157,"Animation, Drama",9.3,236703,87.3,Director 176,"Actor 732, Actor 87, Actor 517",Canada,English,Studio 32,86
108,Movie 108,2008,147,"Fantasy, Drama, Sci-Fi",6.1,148817,313.0,Director 174,"Actor 696, Actor 613, Actor 54",India,English,Studio 43,42
109,Movie 109,2015,166,"Romance, Fantasy",8.0,344728,771.7,Director 77,"Actor 342, Actor 84, Actor 597",Canada,French,Studio 40,80
110,Movie 110,1988,156,"Comedy, Romance, Horror",7.5,172716,651.5,Director 270,"Actor 96, Actor 662, Actor 687",Japan,Hindi,Studio 47,32
111,Movie 111,2003,119,Thriller,5.9,402186,391.6,Director 116,"Actor 141, Actor 159, Actor 80",Germany,Italian,Studio 13,94
112,Movie 112,2014,174,"Action, Sci-Fi, Drama",7.3,81372,134.0,Director 85,"Actor 739, Actor 449, Actor 45",Japan,French,Studio 87,60
113,Movie 113,2008,158,"Adventure, Thriller",6.9,162750,772.6,Director 241,"Actor 199, Actor 377, Actor 695",Australia,German,Studio 60,66
114,Movie 114,2004,144,"Horror, Drama, Thriller",8.4,73060,699.0,Director 27,"Actor 657, Actor 493, Actor 381",Italy,English,Studio 92,45
115,Movie 115,1998,90,Romance,6.5,269644,122.1,Director 224,"Actor 94, Actor 228, Actor 462",India,English,Studio 54,36
116,Movie 116,2005,144,"Thriller, Horror",9.5,197062,183.5,Director 164,"Actor 102, Actor 732, Actor 666",India,Italian,Studio 19,47
117,Movie 117,1982,116,"Drama, Adventure",6.5,3253,725.2,Director 10,"Actor 263, Actor 221, Actor 154",Italy,Japanese,Studio 78,84
118,Movie 118,1987,179,"Thriller, Romance",4.7,125510,338.8,Director 235,"Actor 65, Actor 114, Actor 512",Australia,Hindi,Studio 3,95
119,Movie 119,2016,110,"Drama, Romance, Horror",4.0,185477,196.2,Director 214,"Actor 192, Actor 681, Actor 685",UK,Hindi,Studio 47,38
120,Movie 120,2013,149,"Animation, Fantasy, Action",6.1,246986,39.6,Director 199,"Actor 383, Actor 260, Actor 766",USA,French,Studio 9,74
121,Movie 121,1995,173,"Comedy, Sci-Fi, Drama",4.2,286768,274.1,Director 90,"Actor 798, Actor 702, Actor 476",Spain,Japanese,Studio 24,47
122,Movie 122,1984,171,"Action, Romance",5.1,415269,163.6,Director 22,"Actor 324, Actor 318, Actor 528",Japan,Italian,Studio 70,90
123,Movie 123,1996,84,"Thriller, Romance, Sci-Fi",8.7,25563,693.3,Director 170,"Actor 280, Actor 128, Actor 377",Japan,German,Studio 96,86
124,Movie 124,2004,123,Adventure,7.8,193095,739.8,Director 266,"Actor 274, Actor 85, Actor 745",Japan,English,Studio 56,53
125,Movie 125,2014,117,"Comedy, Fantasy",5.8,155500,248.7,Director 219,"Actor 171, Actor 707, Actor 455",India,German,Studio 6,75
126,Movie 126,2019,135,"Action, Comedy",7.7,213471,293.8,Director 82,"Actor 32, Actor 147, Actor 623",Spain,English,Studio 17,38
127,Movie 127,1995,179,"Sci-Fi, Fantasy, Horror",9.2,17479,486.1,Director 231,"Actor 380, Actor 381, Actor 455",UK,Hindi,Studio 18,76
128,Movie 128,2005,120,"Romance, Thriller, Comedy",4.1,98042,401.7,Director 199,"Actor 576, Actor 121, Actor 269",Germany,Japanese,Studio 58,57
129,Movie 129,2019,116,"Adventure, Thriller, Comedy",4.7,39324,364.4,Director 228,"Actor 90, Actor 699, Actor 328",India,Japanese,Studio 9,67
130,Movie 130,1999,100,"Drama, Sci-Fi, Thriller",4.7,105871,634.7,Director 122,"Actor 506, Actor 27, Actor 370",Italy,Hindi,Studio 48,89
131,Movie 131,2015,96,"Comedy, Fantasy, Romance",6.2,376379,576.5,Director 270,"Actor 421, Actor 788, Actor 420",Australia,English,Studio 17,70
132,Movie 132,2021,89,"Adventure, Animation",5.9,460803,664.1,Director 283,"Actor 656, Actor 602, Actor 187",Canada,German,Studio 65,37
133,Movie 133,1987,146,Romance,4.9,169667,748.1,Director 116,"Actor 355, Actor 532, Actor 291",UK,French,Studio 26,65
134,Movie 134,1988,160,"Fantasy, Animation",4.5,336562,139.1,Director 298,"Actor 158, Actor 176, Actor 675",Australia,Japanese,Studio 78,73
135,Movie 135,2016,85,Comedy,4.3,336806,618.0,Director 136,"Actor 667, Actor 216, Actor 786",Australia,German,Studio 80,33
136,Movie 136,2011,160,"Romance, Fantasy, Adventure",5.3,423783,549.6,Director 153,"Actor 465, Actor 75, Actor 706",USA,Spanish,Studio 57,83
137,Movie 137,2010,139,Sci-Fi,7.3,164383,689.9,Director 164,"Actor 752, Actor 354, Actor 409",Canada,Italian,Studio 48,95
138,Movie 138,2015,93,"Thriller, Adventure",4.7,236217,202.1,Director 50,"Actor 52, Actor 298, Actor 394",Australia,German,Studio 32,50
139,Movie 139,2000,153,"Sci-Fi, Thriller, Drama",6.7,270364,376.1,Director 158,"Actor 510, Actor 24, Actor 93",Japan,Hindi,Studio 59,60
140,Movie 140,1993,154,"Action, Fantasy",5.5,313771,706.5,Director 241,"Actor 293, Actor 550, Actor 9",UK,German,Studio 18,63
141,Movie 141,2003,177,"Sci-Fi, Action",6.2,299491,451.6,Director 186,"Actor 567, Actor 296, Actor 76",Japan,Hindi,Studio 58,65
142,Movie 142,2019,167,"Comedy, Drama, Fantasy",6.2,417255,789.5,Director 286,"Actor 375, Actor 774, Actor 148",France,Hindi,Studio 66,81
143,Movie 143,2012,85,Action,4.8,175109,644.2,Director 266,"Actor 468, Actor 153, Actor 621",Italy,Spanish,Studio 42,70
144,Movie 144,1990,130,"Romance, Sci-Fi, Adventure",7.9,157676,382.5,Director 9,"Actor 378, Actor 340, Actor 690",UK,German,Studio 75,69
145,Movie 145,2024,160,Fantasy,6.6,344218,627.4,Director 297,"Actor 592, Actor 234, Actor 739",USA,Hindi,Studio 62,51
146,Movie 146,2013,160,"Fantasy, Horror, Drama",8.5,127480,30.1,Director 57,"Actor 196, Actor 20, Actor 452",India,German,Studio 20,82
147,Movie 147,2024,106,"Animation, Adventure",8.8,386290,583.3,Director 71,"Actor 532, Actor 213, Actor 575",India,Japanese,Studio 62,78
148,Movie 148,2000,102,"Animation, Sci-Fi",7.0,354849,618.7,Director 136,"Actor 625, Actor 496, Actor 197",France,French,Studio 72,68
149,Movie 149,1994,118,"Thriller, Adventure",5.7,183373,450.6,Director 141,"Actor 295, Actor 125, Actor 588",Italy,German,Studio 51,74
150,Movie 150,1989,117,Romance,9.3,41934,280.4,Director 227,"Actor 672, Actor 263, Actor 766",Spain,Spanish,Studio 26,64
151,Movie 151,2015,169,"Drama, Comedy",7.4,308168,195.2,Director 26,"Actor 686, Actor 544, Actor 232",France,English,Studio 13,82
152,Movie 152,2001,171,"Comedy, Drama",4.0,289043,782.4,Director 81,"Actor 417, Actor 669, Actor 488",Spain,Japanese,Studio 26,66
153,Movie 153,2000,116,"Action, Comedy, Thriller",6.9,379621,681.0,Director 20,"Actor 180, Actor 428, Actor 181",USA,Italian,Studio 51,93
154,Movie 154,1991,175,"Action, Fantasy",5.6,316531,90.3,Director 172,"Actor 292, Actor 466, Actor 657",Italy,Hindi,Studio 64,47
155,Movie 155,2012,139,"Thriller, Comedy",5.8,383817,369.8,Director 132,"Actor 736, Actor 191, Actor 15",India,Italian,Studio 38,54
156,Movie 156,1991,158,"Horror, Fantasy, Sci-Fi",4.5,351382,80.8,Director 72,"Actor 489, Actor 332, Actor 255",USA,French,Studio 50,60
157,Movie 157,2008,176,"Sci-Fi, Romance",7.2,300852,14.1,Director 185,"Actor 710, Actor 242, Actor 64",UK,German,Studio 40,50
158,Movie 158,2005,167,"Romance, Comedy, Fantasy",6.0,116288,179.2,Director 69,"Actor 490, Actor 157, Actor 466",Australia,French,Studio 54,90
159,Movie 159,2014,165,Thriller,7.7,312878,699.1,Director 42,"Actor 539, Actor 458, Actor 541",India,English,Studio 73,44
160,Movie 160,1983,150,"Thriller, Animation, Drama",4.9,448496,418.7,Director 60,"Actor 697, Actor 211, Actor 735",Australia,German,Studio 12,95
161,Movie 161,2008,87,"Drama, Animation",6.3,296151,50.9,Director 237,"Actor 689, Actor 316, Actor 741",USA,German,Studio 33,30
162,Movie 162,1993,154,Action,6.3,367703,55.7,Director 31,"Actor 71, Actor 484, Actor 33",Germany,German,Studio 24,47
163,Movie 163,2021,173,"Horror, Sci-Fi, Fantasy",6.5,481332,725.9,Director 193,"Actor 83, Actor 700, Actor 678",Italy,Spanish,Studio 84,74
164,Movie 164,1987,102,"Horror, Animation, Drama",8.0,117253,668.7,Director 12,"Actor 306, Actor 475, Actor 690",Italy,German,Studio 69,78
165,Movie 165,1994,111,"Sci-Fi, Drama",5.5,491973,700.8,Director 58,"Actor 33, Actor 677, Actor 430",Australia,Italian,Studio 3,60
166,Movie 166,1993,88,Fantasy,4.2,313911,539.3,Director 25,"Actor 251, Actor 759, Actor 46",Japan,German,Studio 30,57
167,Movie 167,1983,97,"Romance, Thriller, Sci-Fi",7.2,405532,539.7,Director 165,"Actor 243, Actor 310, Actor 147",Italy,Spanish,Studio 53,68
168,Movie 168,1997,87,"Fantasy, Drama, Horror",7.1,25080,778.0,Director 196,"Actor 538, Actor 327, Actor 714",Japan,German,Studio 20,68
169,Movie 169,2004,103,"Adventure, Thriller, Animation",5.7,371474,119.8,Director 238,"Actor 60, Actor 576, Actor 423",Japan,Hindi,Studio 68,47
170,Movie 170,2004,111,"Thriller, Sci-Fi",7.6,484012,362.6,Director 190,"Actor 95, Actor 549, Actor 742",France,English,Studio 35,78
171,Movie 171,2023,157,"Action, Comedy, Thriller",8.4,308563,580.8,Director 287,"Actor 223, Actor 491, Actor 214",India,French,Studio 2,57
172,Movie 172,1992,174,Adventure,9.0,365208,485.5,Director 105,"Actor 407, Actor 246, Actor 566",India,Italian,Studio 37,78
173,Movie 173,2009,148,"Sci-Fi, Romance, Animation",6.0,463347,400.3,Director 51,"Actor 740, Actor 481, Actor 780",India,Spanish,Studio 48,70
174,Movie 174,2006,85,"Thriller, Drama, Action",5.4,490582,469.3,Director 214,"Actor 303, Actor 157, Actor 201",India,Spanish,Studio 49,61
175,Movie 175,2011,150,"Sci-Fi, Romance, Adventure",9.3,336932,593.0,Director 236,"Actor 173, Actor 751, Actor 361",Canada,Spanish,Studio 93,92
176,Movie 176,1991,149,"Action, Animation, Fantasy",8.6,39470,756.4,Director 25,"Actor 783, Actor 7, Actor 423",Canada,Italian,Studio 81,59
177,Movie 177,1984,170,Action,5.2,239580,301.7,Director 248,"Actor 676, Actor 500, Actor 17",USA,Hindi,Studio 71,82
178,Movie 178,1980,82,"Romance, Animation, Fantasy",4.1,426828,559.8,Director 221,"Actor 184, Actor 110, Actor 99",Italy,Spanish,Studio 31,54
179,Movie 179,2019,147,"Sci-Fi, Romance",8.4,41928,301.6,Director 208,"Actor 471, Actor 579, Actor 250",France,French,Studio 88,40
180,Movie 180,2021,163,Comedy,6.2,198245,444.4,Director 29,"Actor 653, Actor 10, Actor 720",Canada,English,Studio 64,85
181,Movie 181,2021,180,"Fantasy, Comedy",8.9,482400,38.8,Director 109,"Actor 709, Actor 581, Actor 487",Germany,English,Studio 10,65
182,Movie 182,2014,152,"Action, Drama, Sci-Fi",4.1,109110,471.7,Director 204,"Actor 79, Actor 307, Actor 167",Australia,Spanish,Studio 73,79
183,Movie 183,2023,149,"Horror, Drama",8.3,361897,580.7,Director 257,"Actor 764, Actor 355, Actor 55",UK,German,Studio 30,39
184,Movie 184,2001,157,"Fantasy, Horror, Sci-Fi",4.2,143802,627.9,Director 231,"Actor 503, Actor 234, Actor 365",Italy,German,Studio 56,53
185,Movie 185,2023,154,"Horror, Comedy, Romance",8.4,374374,63.4,Director 138,"Actor 158, Actor 390, Actor 729",Canada,Japanese,Studio 50,70
186,Movie 186,2003,93,Action,9.2,233669,291.1,Director 139,"Actor 105, Actor 136, Actor 90",Canada,German,Studio 58,95
187,Movie 187,2006,93,Comedy,5.9,49292,479.6,Director 167,"Actor 395, Actor 13, Actor 299",Japan,German,Studio 100,40
188,Movie 188,2015,111,"Animation, Drama, Horror",4.9,141490,244.4,Director 253,"Actor 150, Actor 65, Actor 172",Japan,French,Studio 54,68
